id,airport_ref,airport_ident,length_ft,width_ft,surface
238008,4773,MNLN,3048,82,Asphalt
238004,4774,MNMG,8012,148,Asphalt
238005,4775,MNMR,6680,150,Asphalt
238002,4776,MNPC,8130,167,Asphalt
268098,22209,MO05,50,50,Concrete
268099,22210,MO06,50,50,Concrete
242574,22213,MO09,3235,40,Asphalt
268101,22223,MO19,30,30,Concrete
268102,22225,MO20,40,40,Concrete
268104,22233,MO28,20,20,Concrete
256925,22234,MO29,2035,40,Gravel
253738,22237,MO32,2325,100,Concrete
268105,22243,MO38,40,10,Concrete
268109,22246,MO41,50,50,Concrete
268111,22252,MO47,40,40,Concrete
268112,22253,MO48,40,40,Concrete
268113,22256,MO50,50,50,Concrete
241468,22262,MO56,3000,48,Asphalt
268115,22268,MO63,40,40,Concrete
264112,45503,MO66,2850,80,Grass
268116,22273,MO69,60,60,Concrete
268118,22275,MO70,20,20,Concrete
268119,22281,MO76,40,40,Concrete
241655,22289,MO84,3195,47,Asphalt
268120,22295,MO91,40,40,Concrete
253002,22304,MOS,3000,60,Gravel
238294,5322,MP00,3346,49,Asphalt
238310,5323,MP01,3117,28,Asphalt
238293,5324,MP02,3773,30,Asphalt
238292,5325,MP03,3281,39,Asphalt
238297,5326,MP17,3379,33,Asphalt
238298,5327,MP18,3350,39,Asphalt
238299,5330,MP21,6562,66,Asphalt
238302,5331,MP22,3215,46,Asphalt
238304,5332,MP23,3907,164,Asphalt
238308,5333,MP24,3937,82,Asphalt
238309,5334,MP26,3999,151,Asphalt
238311,5335,MP27,3202,23,Asphalt
238306,4786,MPBO,4921,85,Asphalt
238307,4787,MPCE,4921,66,Asphalt
238301,4788,MPCH,3609,82,Asphalt
238300,4789,MPDA,6890,148,Asphalt
238303,4790,MPEJ,8858,148,Concrete
256701,30768,MPHO,8500,148,Asphalt
238305,4791,MPMG,5906,98,Asphalt
255985,31939,MPNU,3474,36,Asphalt
248465,31940,MPRH,4380,164,Asphalt
238313,4792,MPSA,3937,82,Asphalt
238296,4793,MPTO,8800,200,Asphalt
238295,4793,MPTO,10006,148,Concrete
238312,4794,MPZL,3435,33,Asphalt
235367,4795,MRAO,3118,39,Asphalt
235383,4796,MRBA,3248,33,Concrete
235388,4797,MRBC,3281,39,Asphalt
235370,4798,MRCC,3281,66,Asphalt
235386,4799,MRCH,4921,50,Asphalt
235381,4800,MRCV,3281,33,Asphalt
235368,4801,MRDC,3163,39,Asphalt
235384,4802,MREC,3350,33,Asphalt
235372,4803,MRFI,4700,75,Asphalt
235374,4804,MRGF,4593,66,Asphalt
235378,4805,MRGP,3609,30,Concrete
235375,4806,MRLB,9022,148,Asphalt
235371,4807,MRLC,4265,49,Asphalt
235369,4808,MRLM,5906,98,Asphalt
235389,4809,MRNS,3281,59,Asphalt
235385,4810,MROC,9882,151,Asphalt
235379,4811,MRPD,3280,65,Asphalt
235376,4812,MRPM,4593,60,Asphalt
235380,4813,MRPV,5250,60,Asphalt
235382,4814,MRQP,3609,36,Asphalt
235377,4815,MRSG,3215,36,Asphalt
235373,4816,MRSV,3215,36,Asphalt
235387,4817,MRUP,3281,39,Asphalt
268123,22307,MS01,40,40,Concrete
268124,22308,MS02,40,40,Concrete
268125,22311,MS05,40,40,Concrete
268126,22313,MS07,50,50,Concrete
264093,45501,MS14,1450,75,Grass
268127,22320,MS16,40,40,Concrete
240014,22327,MS23,4000,30,Asphalt
264069,45502,MS29,3175,100,Grass
268130,22334,MS31,50,50,Concrete
268131,22335,MS32,50,50,Concrete
268132,22348,MS46,40,40,Concrete
268133,22349,MS47,60,60,Concrete
268134,22357,MS56,25,25,Concrete
241057,22358,MS57,3000,30,Asphalt
268138,22368,MS67,30,30,Concrete
268139,22373,MS72,50,50,Concrete
268140,22379,MS78,40,40,Concrete
268141,22382,MS81,50,50,Concrete
268142,22387,MS87,20,20,Concrete
268144,22391,MS91,40,40,Concrete
268145,22394,MS94,50,50,Concrete
235661,4818,MSET,4400,75,Asphalt
235664,4819,MSLD,3280,50,Asphalt
235662,4820,MSLP,10500,148,Asphalt
235663,4820,MSLP,2625,75,Asphalt
235665,4821,MSSS,7349,148,Asphalt
264039,45510,MT03,3376,60,Asphalt
256682,22402,MT04,3100,70,Gravel
240879,22406,MT08,3800,50,Asphalt
264139,45509,MT18,1300,30,Grass
268146,22420,MT23,40,40,Concrete
268147,22422,MT25,31,25,Concrete
268149,22425,MT28,40,40,Concrete
254602,22426,MT29,3000,75,Gravel
268151,22432,MT35,40,40,Concrete
268153,22441,MT44,30,30,Concrete
268154,22452,MT55,20,20,Concrete
268155,22454,MT57,50,50,Concrete
268156,22461,MT64,25,25,Concrete
268157,22462,MT66,30,30,Concrete
268158,22463,MT67,30,30,Concrete
268159,22465,MT70,45,45,Concrete
268160,22473,MT78,30,28,Concrete
247090,22487,MT92,5000,100,Water
254514,22491,MT96,3100,26,Gravel
268162,22494,MT99,36,36,Concrete
236407,4822,MTCA,3220,80,Asphalt
236408,4823,MTCH,8701,131,Asphalt
236409,4824,MTJA,3300,95,Asphalt
236406,4825,MTPP,9974,141,Asphalt
242012,22500,MU03,3000,36,Asphalt
268164,22502,MU05,30,30,Concrete
268165,22503,MU06,20,20,Concrete
268167,22507,MU10,171,63,Concrete
268171,22524,MU29,40,40,Concrete
268173,22530,MU36,65,65,Concrete
268174,22531,MU37,65,30,Concrete
268176,22537,MU44,40,40,Concrete
268177,22538,MU45,35,35,Concrete
268178,22539,MU46,33,33,Concrete
268179,22540,MU47,50,50,Concrete
268180,22542,MU49,50,50,Concrete
268181,22543,MU50,50,50,Concrete
268182,22544,MU51,250,150,Concrete
268183,22545,MU52,30,30,Concrete
268184,22546,MU53,30,30,Concrete
268185,22547,MU54,53,53,Concrete
268186,22550,MU58,60,60,Concrete
268188,22552,MU60,40,40,Concrete
268189,22553,MU61,40,40,Concrete
268190,22556,MU64,55,55,Concrete
268191,22558,MU66,50,50,Concrete
264150,45505,MU78,2313,60,Grass
268193,22568,MU87,50,50,Concrete
268194,22570,MU90,80,70,Concrete
268195,22571,MU91,40,40,Concrete
268196,22571,MU91,20,15,Concrete
268197,22572,MU92,40,40,Concrete
268198,22573,MU93,32,32,Concrete
268199,22574,MU94,40,40,Concrete
268200,22575,MU95,40,40,Concrete
268201,22576,MU96,20,20,Concrete
235420,4826,MUBA,6070,98,Concrete
235392,4827,MUBR,5905,148,Asphalt
235404,4828,MUBY,6887,148,Asphalt
235418,4829,MUCA,11588,148,Asphalt
235398,4830,MUCB,3269,36,Asphalt
235393,4831,MUCC,9842,148,Asphalt
235397,4832,MUCF,7874,148,Asphalt
235416,4833,MUCL,9869,148,Asphalt
235419,4834,MUCM,9842,148,Asphalt
235410,4835,MUCU,13130,148,Asphalt
235411,4835,MUCU,4593,148,Asphalt
235415,4836,MUFL,3247,90,Asphalt
235417,4837,MUGM,8000,200,Asphalt
235422,4838,MUGT,8025,148,Asphalt
235402,4839,MUHA,13123,148,Asphalt
235425,4840,MUHG,10624,148,Asphalt
235427,4841,MUKW,4850,148,Asphalt
235401,4842,MULB,6775,165,Asphalt
235409,4843,MULM,6562,148,Asphalt
235406,4844,MUMG,9334,148,Asphalt
235408,4845,MUML,5893,127,Concrete
235394,4846,MUMO,6102,98,Asphalt
235423,4847,MUMZ,7875,148,Asphalt
235400,4848,MUNB,3300,100,Asphalt
235395,4849,MUNG,8202,148,Asphalt
235396,4849,MUNG,5325,98,Asphalt
235429,4850,MUOC,5248,65,Asphalt
235403,4851,MUPB,7563,148,Asphalt
235399,4852,MUPR,3675,123,Asphalt
235412,4853,MUSA,7873,150,Concrete
235413,4853,MUSA,11799,185,Concrete
235414,4853,MUSA,8144,150,Concrete
235424,4854,MUSC,9898,148,Asphalt
235430,4855,MUSL,5905,98,Asphalt
235428,4856,MUSN,5905,98,Asphalt
235405,4857,MUSS,5905,95,Asphalt
235426,4858,MUTD,5909,98,Asphalt
235421,4859,MUVR,11490,148,Asphalt
235407,4860,MUVT,5971,148,Asphalt
235261,4861,MWCB,6000,148,Asphalt
235262,4862,MWCR,7021,148,Asphalt
308286,308285,MX-0014,3209,66,Asphalt
315812,315811,MX-0070,3921,50,Asphalt
319406,319405,MX-0226,5325,76,Asphalt
323440,323414,MX-0433,6562,131,Asphalt
253693,22595,MY21,7000,0,Water
253694,22595,MY21,6500,0,Water
258152,22596,MY22,2500,2500,Water
258153,22596,MY22,2500,2500,Water
258154,22596,MY22,2100,2000,Water
252256,22597,MY23,5000,1000,Water
252257,22597,MY23,5000,1000,Water
